Diario Ciudad Trujillo,Trujillo,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Estatal,Diaria,"Política,. Economía, Salud,
Deportes, Cultura"
Ovación 106.3 FM,Falcón,Estadal,Radio,Privado,Diaria,General
Diario El Tiempo,Trujillo,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"política, comunidad, economía,
deportes, sucesos, salud,  farándula"
Dinámica,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral,.comunidad,
nacional"
Ven television,Trujillo,Estadal,TV Cable,Privado,Diaria,"Deportes, Cultura, Política,
Economía, Salud, Sucesos"
Vivo Play,Distrito,Global (web,"TV Digital (La que se
transmite vía internet",Privado,Diaria,"Actualidad, nacionales,
internacionales, deportes,
variedades, tecnología"
TV Trujillo,Trujillo,Estadal,TV Cable,Privado,Diaria,"Política, Sucesos, Economía,
Deportes, Salud, Cultura"
La Romántica 90.3 FM Center,Falcón,Estadal,Radio,Privado,Diaria,General
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,"suministró
información",,Economía
Paraguaná 880,Falcón,Estadal,Radio,Privado,Diaria,General
Super hits 96.1 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Sucesos, Deportes, Cultura"
Hit 907,Falcón,Estadal,Radio,Privado,Ocasional,General
Super K FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Deportes, Sucesos, Cultura,
Economía, Salud"
FM Mundial,Falcón,Estadal,Radio,Privado,Diaria,General
Ideológica 99.5 FM,Apure,Local,Radio,Estatal,Diaria,Oficiales
Vive Televisión,Distrito,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Estatal,Diaria,"Educación, cultura, opinión,
nacionales"
Vos Stereo,Zulia,"No se suministró
información",Radio,"No se
suministró
información",Otra,No se suministró información
Impacto105.3 fm,Táchira,Municipal,Radio,Estatal,Diaria,emisora comunitaria
Ritmika,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral, comunidad"
Santa Ana Stereo 100.5 FM,Táchira,Local,Radio,Estatal,Ocasional,emisora comunitaria
Sónica,Bolívar,Municipal,Radio,Estatal,Diaria,"Opinión, política, entretenimiento"
Apuretv,Apure,Local,TV (Señal analógica,Estatal,Diaria,Oficiales
Máxima,Bolívar,Municipal,Radio,Estatal,Diaria,"Opinión, folklore"
Panorama,Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web","No se
suministró
información",Diaria,No suministrón información
Chévere,Bolívar,Municipal,Radio,"No se
suministró
información",Diaria,"Política, comunidad, cultura"
,,,,"suministró
información",,Economía
Paraguaná 880,Falcón,Estadal,Radio,Privado,Diaria,General
Super hits 96.1 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Sucesos, Deportes, Cultura"
Hit 907,Falcón,Estadal,Radio,Privado,Ocasional,General
Super K FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Deportes, Sucesos, Cultura,
Economía, Salud"
FM Mundial,Falcón,Estadal,Radio,Privado,Diaria,General
Ideológica 99.5 FM,Apure,Local,Radio,Estatal,Diaria,Oficiales
Vive Televisión,Distrito,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Estatal,Diaria,"Educación, cultura, opinión,
nacionales"
Vos Stereo,Zulia,"No se suministró
información",Radio,"No se
suministró
información",Otra,No se suministró información
Impacto105.3 fm,Táchira,Municipal,Radio,Estatal,Diaria,emisora comunitaria
Ritmika,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral, comunidad"
Santa Ana Stereo 100.5 FM,Táchira,Local,Radio,Estatal,Ocasional,emisora comunitaria
Sónica,Bolívar,Municipal,Radio,Estatal,Diaria,"Opinión, política, entretenimiento"
Apuretv,Apure,Local,TV (Señal analógica,Estatal,Diaria,Oficiales
Máxima,Bolívar,Municipal,Radio,Estatal,Diaria,"Opinión, folklore"
Panorama,Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web","No se
suministró
información",Diaria,No suministrón información
Chévere,Bolívar,Municipal,Radio,"No se
suministró
información",Diaria,"Política, comunidad, cultura"
LUZ Radio 102.9 FM,Zulia,Estadal,Radio,Privado,Diaria,"Relacionadas al ámbito universitario,
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,,,"ámbito regional, nacional e"
POP 100.9 FM,Miranda,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Sierra 99.1FM,Zulia,Local,Radio,Privado,Diaria,"Información comunitaria, sociales,
sucesos, políticas, agropecuarias"
Río,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, ciudad,cultura, nacionales"
Guayanesa,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, opinión, deportes"
La Voz de Guayana,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, laboral nacionales"
Vepaco TV,Distrito,Nacional,TV (Señal analógica,Privado,Ocasional,"Actualidad, nacionales, política"
Venepress,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Actualidad, nacionales,
internacionales"
Venezolana de Televisión,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Política, economía, deportes,
opinión, nacionales, internacionales"
Rumbera Network,Bolívar,Nacional,Radio,Privado,Diaria,"Entretenimiento, deportes,
nacionales, cultura, salud"
Fiesta,Anzoátegui,Local,Radio,Privado,Diaria,"Comunidad, Política, Deportes,
farándula"
Electrik (Ciudad Guayana,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes,
nacionales"
Venevisión,Distrito,Nacional,TV (Señal analógica,Privado,Diaria,"Nacionales, internacionales, política,
salud, deportes, farándula,
economía"
Marina,Anzoátegui,Municipal,Radio,Privado,Diaria,"Información general, Farándula,
Deportes, política"
Tropícal,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, comunidad,
política, deportes"
,,,,,,"ámbito regional, nacional e"
POP 100.9 FM,Miranda,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Sierra 99.1FM,Zulia,Local,Radio,Privado,Diaria,"Información comunitaria, sociales,
sucesos, políticas, agropecuarias"
Río,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, ciudad,cultura, nacionales"
Guayanesa,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, opinión, deportes"
La Voz de Guayana,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, laboral nacionales"
Vepaco TV,Distrito,Nacional,TV (Señal analógica,Privado,Ocasional,"Actualidad, nacionales, política"
Venepress,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Actualidad, nacionales,
internacionales"
Venezolana de Televisión,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Política, economía, deportes,
opinión, nacionales, internacionales"
Rumbera Network,Bolívar,Nacional,Radio,Privado,Diaria,"Entretenimiento, deportes,
nacionales, cultura, salud"
Fiesta,Anzoátegui,Local,Radio,Privado,Diaria,"Comunidad, Política, Deportes,
farándula"
Electrik (Ciudad Guayana,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes,
nacionales"
Venevisión,Distrito,Nacional,TV (Señal analógica,Privado,Diaria,"Nacionales, internacionales, política,
salud, deportes, farándula,
economía"
Marina,Anzoátegui,Municipal,Radio,Privado,Diaria,"Información general, Farándula,
Deportes, política"
Tropícal,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, comunidad,
política, deportes"
Circuito Unión Radio,Anzoátegui,Estadal,Radio,Privado,Diaria,"Política, Información General"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Vale TV,Distrito,Local,TV (Señal analógica,Privado,Diaria,"Actualidad, cultura, turismo,
ambiente, música, ciencia, historia"
Rumba,Anzoátegui,Estadal,Radio,Privado,Diaria,"Información general, comunidad"
MegaVisión,Anzoátegui,Local,TV Cable,Privado,Diaria,"Comunidad, Salud, Sucesos,
opinión"
Unión RadioNoticias,Distrito,Nacional,Radio,Privado,Diaria,"Nacionales, internacionales, política,
economía, deportes, cultura, salud"
Digital,Anzoátegui,Municipal,Radio,Privado,Diaria,"Deportes, política"
Noticias Apure,Apure,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Informativa
ElectriK,Bolívar,Estadal,Radio,Privado,Diaria,"Entretenimiento, deportes,
Nacionales"
Desde la Web Radio,Apure,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Informativa, entretenimiento"
Mas Network,Anzoátegui,Local,Radio,Privado,Diaria,"Información general, deportes"
Radio Única,Sucre,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Rumbera Network,Anzoátegui,Local,Radio,Privado,Diaria,"Información General, Política"
Radio Alfa,Sucre,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Gubernamental y privado
Metro,Anzoátegui,Local,Radio,Privado,Diaria,Información General
Hombres laboriosos 104.1 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Vale TV,Distrito,Local,TV (Señal analógica,Privado,Diaria,"Actualidad, cultura, turismo,
ambiente, música, ciencia, historia"
Rumba,Anzoátegui,Estadal,Radio,Privado,Diaria,"Información general, comunidad"
MegaVisión,Anzoátegui,Local,TV Cable,Privado,Diaria,"Comunidad, Salud, Sucesos,
opinión"
Unión RadioNoticias,Distrito,Nacional,Radio,Privado,Diaria,"Nacionales, internacionales, política,
economía, deportes, cultura, salud"
Digital,Anzoátegui,Municipal,Radio,Privado,Diaria,"Deportes, política"
Noticias Apure,Apure,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Informativa
ElectriK,Bolívar,Estadal,Radio,Privado,Diaria,"Entretenimiento, deportes,
Nacionales"
Desde la Web Radio,Apure,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Informativa, entretenimiento"
Mas Network,Anzoátegui,Local,Radio,Privado,Diaria,"Información general, deportes"
Radio Única,Sucre,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Rumbera Network,Anzoátegui,Local,Radio,Privado,Diaria,"Información General, Política"
Radio Alfa,Sucre,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Gubernamental y privado
Metro,Anzoátegui,Local,Radio,Privado,Diaria,Información General
Hombres laboriosos 104.1 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Miranda 100.1 FM,Miranda,Estadal,Radio,Privado,Diaria,"Entretenimiento, TRáfico,
nacionales, regionales
Page"
,Medio,Estado,Alcance,,Tipo,Naturaleza
Radio Mistica,,Sucre,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Ritmo 107.5 FM,,Barinas,Municipal,Radio,,Privado
,,,,,,
,,,,,,
Ondas del páramo 102.3 FM,,Mérida,Municipal,Radio,,Privado
Stereo Rey 97.1 FM,,Barinas,Estadal,Radio,,Privado
,,,,,,
Radio Pedregal Stereo,,Falcón,Estadal,Radio,,Estatal
Emoción 98.1 FM,,Barinas,Estadal,Radio,,Privado
,,,,,,
Alazana,,Guárico,Local,Radio,,Privado
Radio Llovizna (Comunitaria,,Bolívar,Municipal,Radio,,Estatal
Últimas Noticias,,Distrito,Nacional,Periódico (Impreso,,No se
,,,,,,suministró
,,,,,,información
La Mega,,Bolívar,Nacional,Radio,,Privado
TV FANB,,Distrito,Nacional,TV (Señal analógica,,Estatal
,,,,,,
Notisur Apure,,Apure,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
TV Familia,,Distrito,Nacional,TV (Señal analógica,,Privado
Personajes y vivencias de mi pueblo,,Apure,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
TodosAhora.com,,Distrito,Global (web,Nativo Digital,,Privado
Radio Mistica,Sucre,Regional (varios,Radio,Privado,Diaria,Todas las fuentes informativas
,,estados en,,,,
,,simultáneo,,,,
Ritmo 107.5 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,"
,,,,,,"Sucesos, economía, salud, cultura,"
,,,,,,deportes
Ondas del páramo 102.3 FM,Mérida,Municipal,Radio,Privado,Otra,Desconocido
Stereo Rey 97.1 FM,Barinas,Estadal,Radio,Privado,Diaria,"Información general, cultura,"
,,,,,,deportes
Radio Pedregal Stereo,Falcón,Estadal,Radio,Estatal,Diaria,General
Emoción 98.1 FM,Barinas,Estadal,Radio,Privado,Diaria,"Información general, política,"
,,,,,,"economía, cultura, deportes y"
Alazana,Guárico,Local,Radio,Privado,Diaria,"Folclore, cultura, música llanera"
Radio Llovizna (Comunitaria,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, comunidad"
Últimas Noticias,Distrito,Nacional,Periódico (Impreso,No se,Diaria,"Política, Economía, Sucesos,"
,,,,suministró,,"Deportes, Opinion, Cultura"
,,,,información,,
La Mega,Bolívar,Nacional,Radio,Privado,Diaria,Entretenimiento
TV FANB,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Política, nacionales, opinión, cultura,"
,,,,,,institucional
Notisur Apure,Apure,Global (web,Nativo Digital,Privado,Diaria,Informativa
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
TV Familia,Distrito,Nacional,TV (Señal analógica,Privado,Otra,Religión y culto
Personajes y vivencias de mi pueblo,Apure,Global (web,Nativo Digital,Privado,Diaria,"Cultural, histórico"
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
TodosAhora.com,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Nacionales, internacionales,"
,,,(Transmitido,,,"deportes, tendencias, tecnología,"
,,,exclusivamente vía,,,sociedad
,,,,,,Page
,Medio,Estado,Alcance,,Tipo,Naturaleza
,,,,web,,
Radio Solar,,Sucre,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Tiuna FM,,Distrito,Regional (varios,Radio,,Estatal
,,,estados en,,,
,,,simultáneo,,,
EnaTV (Es nuestra actualidad,,Apure,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
TeLoCuentoNews,,Distrito,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Radio Carnaval,,Sucre,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Televisora Venezolana Social (TVES,,Distrito,Nacional,TV (Señal analógica,,Estatal
,,,,,,
CalleTacarigua.com,,Sucre,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Diario La Voz,,Miranda,Global (web,Versión Digital,,Privado
,,,,"(Periódico, tv o radio,",,
,,,,que,,
Tú Tv,,Sucre,Municipal,TV (Señal analógica,,Privado
Rumbera Tuy 106.9FM,,Miranda,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Radio Sabana 97.9 FM,,Apure,Local,Radio,,Privado
Radio Impacto 107. 1 FM,,Barinas,Municipal,Radio,,Privado
,,,web,,,
Radio Solar,Sucre,Regional (varios,Radio,Privado,Diaria,Privada y gubernamental
,,estados en,,,,
,,simultáneo,,,,
Tiuna FM,Distrito,Regional (varios,Radio,Estatal,Diaria,"Nacionales, internacionales, política,"
,,estados en,,,,"actualidad, cultura, infantil"
,,simultáneo,,,,
EnaTV (Es nuestra actualidad,Apure,Global (web,Nativo Digital,Privado,Diaria,Informativa
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
TeLoCuentoNews,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Actualidad, nacionales,"
,,,(Transmitido,,,"internacionales, migración, salud,"
,,,exclusivamente vía,,,deportes
,,,web,,,
Radio Carnaval,Sucre,Regional (varios,Radio,Privado,Diaria,Todas las fuentes informativas:
,,estados en,,,,"música, opinión, noticias, comunidad"
,,simultáneo,,,,
Televisora Venezolana Social (TVES,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Nacionales, política, internacionales,"
,,,,,,"deportes, farándula"
CalleTacarigua.com,Sucre,Global (web,Nativo Digital,Privado,Diaria,Todas las fuentes informativas
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Diario La Voz,Miranda,Global (web,Versión Digital,Privado,Diaria,"Nacionales, Sucesos,"
,,,"(Periódico, tv o radio,",,,"Internacionales, Política, Deportes y"
,,,que,,,Regionales
Tú Tv,Sucre,Municipal,TV (Señal analógica,Privado,Diaria,Todas las fuentes informativas
Rumbera Tuy 106.9FM,Miranda,Regional (varios,Radio,Privado,Diaria,"Nacionales, política, entretenimiento"
,,estados en,,,,
,,simultáneo,,,,
Radio Sabana 97.9 FM,Apure,Local,Radio,Privado,Diaria,Recreativa
Radio Impacto 107. 1 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,"
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,,,"deportes, cultura y entretenimiento"
"Radio Fe y Alegría Guasdualito 101.1
FM",Apure,Municipal,Radio,Privado,Diaria,"Informativa, recreacional, cultural y
educativa"
Positiva 95.7 FM,Barinas,Municipal,Radio,Privado,Diaria,Informacion general
La Romántica,Bolívar,Nacional,Radio,Privado,Diaria,"Entretenimiento, nacionales,
economía, política, laboral"
Paraíso 102.9 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, deportes,
cultura y entretenimiento"
"Radio Comunitaria Bolivariana 93.7
FM",Apure,Local,Radio,Estatal,Diaria,Oficial
Diamante,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, ciudad, Nacional"
Mira TV,Miranda,Estadal,TV (Señal analógica,Privado,Diaria,"Comunidad, noticias,
entretenimiento"
Radio Unare (Comunitaria,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, comunidad"
Emisora Cultural de Coro,Falcón,Estadal,Radio,Privado,Diaria,Cultura
Pozo Verde (Radio Comunitaria,Bolívar,Local,Radio,Estatal,Diaria,"Política, comunidad"
Caquetia,Falcón,Estadal,Radio,Estatal,Diaria,General
Play Top Radio (Circuito Unión Radio,Bolívar,Nacional,Radio,Privado,Diaria,Deportes y música
Extrema,Falcón,Estadal,Radio,Privado,Ocasional,General
Antorcha Televisión,Anzoátegui,Local,TV Cable,Privado,Diaria,"Información General, política,
sucesos, notas comunitarias"
La Mega,Falcón,Estadal,Radio,Privado,Diaria,General
Frecuencia Feeling 97.1,Miranda,Municipal,Radio,Privado,Diaria,"Música, entretenimiento"
Super Steteo 94.5 FM,Falcón,Estadal,Radio,Privado,Diaria,General
Televen,Distrito,Nacional,TV (Señal analógica,Privado,Diaria,"Nacionales, internacionales, política,
economía, salud, sucesos, deportes"
,,,,,,"deportes, cultura y entretenimiento"
"Radio Fe y Alegría Guasdualito 101.1
FM",Apure,Municipal,Radio,Privado,Diaria,"Informativa, recreacional, cultural y
educativa"
Positiva 95.7 FM,Barinas,Municipal,Radio,Privado,Diaria,Informacion general
La Romántica,Bolívar,Nacional,Radio,Privado,Diaria,"Entretenimiento, nacionales,
economía, política, laboral"
Paraíso 102.9 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, deportes,
cultura y entretenimiento"
"Radio Comunitaria Bolivariana 93.7
FM",Apure,Local,Radio,Estatal,Diaria,Oficial
Diamante,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, ciudad, Nacional"
Mira TV,Miranda,Estadal,TV (Señal analógica,Privado,Diaria,"Comunidad, noticias,
entretenimiento"
Radio Unare (Comunitaria,Bolívar,Municipal,Radio,Estatal,Diaria,"Política, comunidad"
